城市,日期,温度,天气,湿度,风向,紫外线,空气质量,PM值,日出,日落
海拉尔,2024年12月25日　星期三　甲辰年冬月廿五,-18℃,阴-25 ~ -16℃,湿度：77%,风向：北风 2级,紫外线：很弱,空气质量：优,PM: 12,07:54,16:07
呼伦贝尔,2024年12月25日　星期三　甲辰年冬月廿五,-20℃,多云-25 ~ -16℃,湿度：79%,风向：北风 3级,紫外线：无,空气质量：优,PM: 13,07:54,16:07
胡尔勒,2024年12月25日　星期三　甲辰年冬月廿五,-11℃,多云-14 ~ -8℃,湿度：82%,风向：东北风 2级,紫外线：很弱,空气质量：良,PM: 20,07:34,16:08
怀安,2024年12月25日　星期三　甲辰年冬月廿五,-4℃,晴-12 ~ -3℃,湿度：40%,风向：西风 5级,紫外线：弱,空气质量：优,PM: 3,07:44,17:00
怀来,2024年12月25日　星期三　甲辰年冬月廿五,-1℃,晴-9 ~ -1℃,湿度：33%,风向：西北风 4级,紫外线：弱,空气质量：良,PM: 33,07:39,16:56
海兴,2024年12月25日　星期三　甲辰年冬月廿五,2℃,中度雾霾-4 ~ 5℃,湿度：73%,风向：西南风 3级,紫外线：弱,空气质量：中度污染,PM: 134,07:24,16:55
黄骅,2024年12月25日　星期三　甲辰年冬月廿五,-1℃,中度雾霾-2 ~ 4℃,湿度：65%,风向：西南风 2级,紫外线：弱,空气质量：中度污染,PM: 148,07:25,16:55
河间,2024年12月25日　星期三　甲辰年冬月廿五,-3℃,中度雾霾-4 ~ 6℃,湿度：80%,风向：西南风 2级,紫外线：弱,空气质量：中度污染,PM: 130,07:30,17:00
衡水,2024年12月25日　星期三　甲辰年冬月廿五,-1℃,中度雾霾-4 ~ 7℃,湿度：64%,风向：西南风 2级,紫外线：很弱,空气质量：中度污染,PM: 131,07:30,17:04
邯郸,2024年12月25日　星期三　甲辰年冬月廿五,-3℃,中度雾霾-3 ~ 9℃,湿度：83%,风向：南风 2级,紫外线：很弱,空气质量：中度污染,PM: 139,07:32,17:11
邯山,2024年12月25日　星期三　甲辰年冬月廿五,2℃,雾-3 ~ 7℃,湿度：82%,风向：南风 2级,紫外线：很弱,空气质量：中度污染,PM: 127,07:32,17:12
浑源,2024年12月25日　星期三　甲辰年冬月廿五,-2℃,晴-12 ~ -2℃,湿度：77%,风向：西风 4级,紫外线：弱,空气质量：良,PM: 24,07:44,17:06
和顺,2024年12月25日　星期三　甲辰年冬月廿五,-6℃,多云-7 ~ 1℃,湿度：65%,风向：西风 4级,紫外线：很弱,空气质量：良,PM: 58,07:37,17:13
壶关,2024年12月25日　星期三　甲辰年冬月廿五,-2℃,雾-4 ~ 4℃,湿度：52%,风向：北风 1级,紫外线：很弱,空气质量：轻度污染,PM: 92,07:36,17:18
海门,2024年12月25日　星期三　甲辰年冬月廿五,7℃,雾3 ~ 12℃,湿度：91%,风向：东风 2级,紫外线：很弱,空气质量：良,PM: 63,06:53,16:57
淮安,2024年12月25日　星期三　甲辰年冬月廿五,5℃,轻度雾霾1 ~ 10℃,湿度：84%,风向：西风 1级,紫外线：弱,空气质量：轻度污染,PM: 84,07:06,17:01
湖州,2024年12月25日　星期三　甲辰年冬月廿五,7℃,雾7 ~ 13℃,湿度：85%,风向：西南风 1级,紫外线：很弱,空气质量：良,PM: 56,06:55,17:04
海宁,2024年12月25日　星期三　甲辰年冬月廿五,11℃,雾7 ~ 14℃,湿度：89%,风向：西风 2级,紫外线：很弱,空气质量：良,PM: 43,06:51,17:02
海盐,2024年12月25日　星期三　甲辰年冬月廿五,10℃,雾6 ~ 12℃,湿度：89%,风向：西南风 2级,紫外线：很弱,空气质量：良,PM: 50,06:50,17:01
海曙,2024年12月25日　星期三　甲辰年冬月廿五,9℃,雾4 ~ 14℃,湿度：93%,风向：南风 1级,紫外线：很弱,空气质量：良,PM: 39,06:46,17:00
洪家,2024年12月25日　星期三　甲辰年冬月廿五,14℃,阴转小雨10 ~ 15℃,湿度：70%,风向：北风 2级,紫外线：很弱,空气质量：优,PM: 31,06:44,17:04
黄岩,2024年12月25日　星期三　甲辰年冬月廿五,11℃,雾8 ~ 16℃,湿度：68%,风向：北风 1级,紫外线：很弱,空气质量：良,PM: 35,06:45,17:04
横店,2024年12月25日　星期三　甲辰年冬月廿五,9℃,阴6 ~ 15℃,湿度：78%,风向：西南风 0级,紫外线：很弱,空气质量：良,PM: 63,06:50,17:07
合肥,2024年12月25日　星期三　甲辰年冬月廿五,6℃,轻度雾霾3 ~ 11℃,湿度：73%,风向：西北风 2级,紫外线：弱,空气质量：轻度污染,PM: 83,07:08,17:13
怀远,2024年12月25日　星期三　甲辰年冬月廿五,7℃,轻度雾霾-0 ~ 9℃,湿度：57%,风向：北风 1级,紫外线：中等,空气质量：轻度污染,PM: 107,07:11,17:10
淮上,2024年12月25日　星期三　甲辰年冬月廿五,5℃,轻度雾霾1 ~ 10℃,湿度：76%,风向：西北风 1级,紫外线：弱,空气质量：轻度污染,PM: 112,07:11,17:10
淮南,2024年12月25日　星期三　甲辰年冬月廿五,9℃,中度雾霾3 ~ 10℃,湿度：53%,风向：北风 1级,紫外线：中等,空气质量：中度污染,PM: 129,07:11,17:12
花山,2024年12月25日　星期三　甲辰年冬月廿五,7℃,轻度雾霾4 ~ 12℃,湿度：78%,风向：北风 2级,紫外线：中等,空气质量：轻度污染,PM: 102,07:03,17:08
含山,2024年12月25日　星期三　甲辰年冬月廿五,7℃,轻度雾霾3 ~ 10℃,湿度：73%,风向：西北风 1级,紫外线：弱,空气质量：轻度污染,PM: 80,07:05,17:10
和县,2024年12月25日　星期三　甲辰年冬月廿五,8℃,轻度雾霾3 ~ 12℃,湿度：70%,风向：北风 2级,紫外线：中等,空气质量：轻度污染,PM: 80,07:04,17:09
怀宁,2024年12月25日　星期三　甲辰年冬月廿五,7℃,轻度雾霾4 ~ 12℃,湿度：75%,风向：东北风 1级,紫外线：很弱,空气质量：轻度污染,PM: 94,07:07,17:17
黄山,2024年12月25日　星期三　甲辰年冬月廿五,8℃,晴4 ~ 15℃,湿度：86%,风向：西风 1级,紫外线：中等,空气质量：良,PM: 44,06:59,17:14
黄山,2024年12月25日　星期三　甲辰年冬月廿五,7℃,晴4 ~ 15℃,湿度：91%,风向：西风 0级,紫外线：弱,空气质量：良,PM: 41,06:59,17:14
黄山风景,2024年12月25日　星期三　甲辰年冬月廿五,8℃,晴3 ~ 12℃,湿度：76%,风向：西风 1级,紫外线：中等,空气质量：良,PM: 55,07:01,17:13
徽州,2024年12月25日　星期三　甲辰年冬月廿五,8℃,晴5 ~ 15℃,湿度：93%,风向：西南风 1级,紫外线：中等,空气质量：良,PM: 44,06:59,17:13
淮北,2024年12月25日　星期三　甲辰年冬月廿五,3℃,轻度雾霾-2 ~ 8℃,湿度：94%,风向：西北风 1级,紫外线：弱,空气质量：轻度污染,PM: 111,07:15,17:09
海口,2024年12月25日　星期三　甲辰年冬月廿五,18℃,阴17 ~ 19℃,湿度：77%,风向：东北风 4级,紫外线：很弱,空气质量：良,PM: 35,07:11,18:07
蛟河,2024年12月25日　星期三　甲辰年冬月廿五,-3℃,阴-16 ~ -2℃,湿度：85%,风向：西南风 2级,紫外线：很弱,空气质量：良,PM: 46,07:02,15:58
集安,2024年12月25日　星期三　甲辰年冬月廿五,-7℃,雾-11 ~ -0℃,湿度：78%,风向：南风 1级,紫外线：很弱,空气质量：良,PM: 56,06:58,16:11
靖宇,2024年12月25日　星期三　甲辰年冬月廿五,-2℃,多云-19 ~ -1℃,湿度：69%,风向：西南风 3级,紫外线：很弱,空气质量：良,PM: 40,07:00,16:05
江源,2024年12月25日　星期三　甲辰年冬月廿五,-15℃,阴-20 ~ -4℃,湿度：92%,风向：南风 2级,紫外线：很弱,空气质量：良,PM: 34,07:00,16:07
金州,2024年12月25日　星期三　甲辰年冬月廿五,4℃,轻度雾霾-0 ~ 6℃,湿度：67%,风向：西风 4级,紫外线：弱,空气质量：轻度污染,PM: 80,07:10,16:35
锦州,2024年12月25日　星期三　甲辰年冬月廿五,-2℃,中度雾霾-6 ~ 4℃,湿度：68%,风向：西风 2级,紫外线：很弱,空气质量：中度污染,PM: 117,07:18,16:32
建平,2024年12月25日　星期三　甲辰年冬月廿五,-2℃,晴-10 ~ -0℃,湿度：51%,风向：西风 3级,紫外线：弱,空气质量：良,PM: 73,07:25,16:37
建昌,2024年12月25日　星期三　甲辰年冬月廿五,-10℃,晴-10 ~ -0℃,湿度：78%,风向：西风 2级,紫外线：很弱,空气质量：良,PM: 59,07:23,16:38
九原,2024年12月25日　星期三　甲辰年冬月廿五,-7℃,晴-11 ~ -6℃,湿度：72%,风向：北风 4级,紫外线：弱,空气质量：良,PM: 10,08:02,17:18
靖江,2024年12月25日　星期三　甲辰年冬月廿五,8℃,轻度雾霾5 ~ 11℃,湿度：80%,风向：东南风 1级,紫外线：很弱,空气质量：轻度污染,PM: 85,06:57,17:00
嘉兴,2024年12月25日　星期三　甲辰年冬月廿五,10℃,雾6 ~ 13℃,湿度：82%,风向：西南风 2级,紫外线：很弱,空气质量：良,PM: 52,06:52,17:01
嘉善,2024年12月25日　星期三　甲辰年冬月廿五,8℃,雾7 ~ 15℃,湿度：89%,风向：东南风 2级,紫外线：很弱,空气质量：良,PM: 52,06:51,17:01
金华,2024年12月25日　星期三　甲辰年冬月廿五,9℃,晴6 ~ 16℃,湿度：75%,风向：东南风 1级,紫外线：很弱,空气质量：良,PM: 54,06:52,17:10
江山,2024年12月25日　星期三　甲辰年冬月廿五,8℃,晴5 ~ 15℃,湿度：89%,风向：北风 1级,紫外线：中等,空气质量：良,PM: 69,06:56,17:15
九江,2024年12月25日　星期三　甲辰年冬月廿五,6℃,轻度雾霾6 ~ 12℃,湿度：69%,风向：西风 2级,紫外线：很弱,空气质量：轻度污染,PM: 81,07:08,17:23
九江,2024年12月25日　星期三　甲辰年冬月廿五,4℃,轻度雾霾4 ~ 11℃,湿度：64%,风向：西风 2级,紫外线：无,空气质量：轻度污染,PM: 86,07:08,17:23
吉州,2024年12月25日　星期三　甲辰年冬月廿五,9℃,晴7 ~ 15℃,湿度：80%,风向：北风 1级,紫外线：弱,空气质量：良,PM: 68,07:07,17:33
克拉玛依,2024年12月25日　星期三　甲辰年冬月廿五,-17℃,晴-17 ~ -13℃,湿度：84%,风向：东北风 2级,紫外线：很弱,空气质量：良,PM: 51,09:59,18:41
奎屯,2024年12月25日　星期三　甲辰年冬月廿五,-14℃,轻度雾霾-14 ~ -11℃,湿度：95%,风向：西南风 1级,紫外线：无,空气质量：轻度污染,PM: 102,09:55,18:46
开封,2024年12月25日　星期三　甲辰年冬月廿五,6℃,中度雾霾-1 ~ 9℃,湿度：61%,风向：西风 1级,紫外线：中等,空气质量：中度污染,PM: 128,07:28,17:17
龙凤,2024年12月25日　星期三　甲辰年冬月廿五,-14℃,晴-20 ~ -8℃,湿度：75%,风向：西风 3级,紫外线：很弱,空气质量：良,PM: 70,07:22,15:56
辽阳,2024年12月25日　星期三　甲辰年冬月廿五,-3℃,晴-5 ~ 4℃,湿度：82%,风向：南风 2级,紫外线：很弱,空气质量：良,PM: 73,07:11,16:23
龙口,2024年12月25日　星期三　甲辰年冬月廿五,1℃,多云-0 ~ 5℃,湿度：63%,风向：西南风 2级,紫外线：很弱,空气质量：良,PM: 44,07:11,16:45
临海,2024年12月25日　星期三　甲辰年冬月廿五,8℃,雾5 ~ 16℃,湿度：87%,风向：西北风 1级,紫外线：很弱,空气质量：良,PM: 39,06:46,17:04
庐江,2024年12月25日　星期三　甲辰年冬月廿五,6℃,轻度雾霾3 ~ 12℃,湿度：81%,风向：西北风 2级,紫外线：很弱,空气质量：轻度污染,PM: 77,07:07,17:14
澧县,2024年12月25日　星期三　甲辰年冬月廿五,6℃,雾5 ~ 9℃,湿度：77%,风向：北风 2级,紫外线：很弱,空气质量：轻度污染,PM: 98,07:25,17:40
乐山,2024年12月25日　星期三　甲辰年冬月廿五,8℃,阴转小雨7 ~ 10℃,湿度：100%,风向：西风 1级,紫外线：无,空气质量：优,PM: 30,07:57,18:12
柳江,2024年12月25日　星期三　甲辰年冬月廿五,12℃,晴9 ~ 18℃,湿度：52%,风向：北风 2级,紫外线：弱,空气质量：良,PM: 73,07:23,18:02
闵行,2024年12月25日　星期三　甲辰年冬月廿五,9℃,雾5 ~ 15℃,湿度：80%,风向：东南风 1级,紫外线：很弱,空气质量：优,PM: 33,06:50,16:58
麻城,2024年12月25日　星期三　甲辰年冬月廿五,2℃,轻度雾霾2 ~ 12℃,湿度：74%,风向：东风 1级,紫外线：很弱,空气质量：轻度污染,PM: 85,07:16,17:23
茂名,2024年12月25日　星期三　甲辰年冬月廿五,21℃,阴15 ~ 22℃,湿度：62%,风向：东风 1级,紫外线：很弱,空气质量：良,PM: 48,07:11,18:00
南京,2024年12月25日　星期三　甲辰年冬月廿五,6℃,晴4 ~ 12℃,湿度：72%,风向：北风 1级,紫外线：无,空气质量：良,PM: 63,07:03,17:06
南通,2024年12月25日　星期三　甲辰年冬月廿五,7℃,雾6 ~ 11℃,湿度：87%,风向：东风 2级,紫外线：很弱,空气质量：良,PM: 47,06:54,16:58
宁波,2024年12月25日　星期三　甲辰年冬月廿五,10℃,雾4 ~ 14℃,湿度：93%,风向：南风 1级,紫外线：很弱,空气质量：良,PM: 39,06:47,17:00
南谯,2024年12月25日　星期三　甲辰年冬月廿五,7℃,轻度雾霾1 ~ 11℃,湿度：66%,风向：北风 1级,紫外线：中等,空气质量：轻度污染,PM: 77,07:05,17:08
宁国,2024年12月25日　星期三　甲辰年冬月廿五,8℃,轻度雾霾4 ~ 13℃,湿度：80%,风向：西风 1级,紫外线：弱,空气质量：轻度污染,PM: 101,06:59,17:09
宁德,2024年12月25日　星期三　甲辰年冬月廿五,16℃,多云11 ~ 18℃,湿度：63%,风向：西北风 1级,紫外线：很弱,空气质量：优,PM: 21,06:47,17:16
南安,2024年12月25日　星期三　甲辰年冬月廿五,19℃,多云13 ~ 23℃,湿度：67%,风向：北风 2级,紫外线：很弱,空气质量：优,PM: 14,06:48,17:24
南靖,2024年12月25日　星期三　甲辰年冬月廿五,17℃,多云13 ~ 21℃,湿度：75%,风向：西北风 1级,紫外线：弱,空气质量：优,PM: 28,06:52,17:29
宁化,2024年12月25日　星期三　甲辰年冬月廿五,10℃,晴4 ~ 17℃,湿度：81%,风向：北风 1级,紫外线：中等,空气质量：优,PM: 30,06:58,17:28
南平,2024年12月25日　星期三　甲辰年冬月廿五,12℃,多云10 ~ 17℃,湿度：85%,风向：南风 0级,紫外线：很弱,空气质量：良,PM: 41,06:53,17:21
南昌,2024年12月25日　星期三　甲辰年冬月廿五,10℃,晴6 ~ 13℃,湿度：54%,风向：北风 2级,紫外线：中等,空气质量：良,PM: 64,07:07,17:26
南昌,2024年12月25日　星期三　甲辰年冬月廿五,10℃,晴6 ~ 13℃,湿度：54%,风向：北风 2级,紫外线：中等,空气质量：良,PM: 64,07:07,17:26
南城,2024年12月25日　星期三　甲辰年冬月廿五,8℃,晴4 ~ 15℃,湿度：74%,风向：北风 1级,紫外线：弱,空气质量：良,PM: 57,07:01,17:25
南丰,2024年12月25日　星期三　甲辰年冬月廿五,7℃,晴3 ~ 16℃,湿度：82%,风向：东北风 1级,紫外线：中等,空气质量：良,PM: 58,07:01,17:26
南康,2024年12月25日　星期三　甲辰年冬月廿五,9℃,晴6 ~ 16℃,湿度：68%,风向：北风 2级,紫外线：中等,空气质量：良,PM: 48,07:04,17:36
宁都,2024年12月25日　星期三　甲辰年冬月廿五,11℃,晴4 ~ 15℃,湿度：60%,风向：北风 2级,紫外线：强,空气质量：良,PM: 60,07:01,17:30
宁乡,2024年12月25日　星期三　甲辰年冬月廿五,5℃,轻度雾霾2 ~ 12℃,湿度：88%,风向：北风 2级,紫外线：弱,空气质量：轻度污染,PM: 109,07:19,17:40
南岳,2024年12月25日　星期三　甲辰年冬月廿五,12℃,轻度雾霾3 ~ 15℃,湿度：61%,风向：北风 2级,紫外线：弱,空气质量：轻度污染,PM: 82,07:16,17:42
南县,2024年12月25日　星期三　甲辰年冬月廿五,8℃,轻度雾霾5 ~ 14℃,湿度：65%,风向：北风 2级,紫外线：中等,空气质量：轻度污染,PM: 87,07:15,17:43
宁远,2024年12月25日　星期三　甲辰年冬月廿五,8℃,轻度雾霾4 ~ 16℃,湿度：67%,风向：东北风 2级,紫外线：中等,空气质量：轻度污染,PM: 103,07:15,17:48
南明,2024年12月25日　星期三　甲辰年冬月廿五,2℃,阴2 ~ 9℃,湿度：98%,风向：东北风 2级,紫外线：很弱,空气质量：良,PM: 44,07:39,18:07
纳雍,2024年12月25日　星期三　甲辰年冬月廿五,3℃,雾1 ~ 5℃,湿度：97%,风向：东北风 2级,紫外线：很弱,空气质量：优,PM: 12,07:44,18:12
南充,2024年12月25日　星期三　甲辰年冬月廿五,7℃,雾5 ~ 11℃,湿度：92%,风向：北风 1级,紫外线：很弱,空气质量：轻度污染,PM: 80,07:51,18:00
南部,2024年12月25日　星期三　甲辰年冬月廿五,8℃,雾4 ~ 11℃,湿度：98%,风向：北风 2级,紫外线：很弱,空气质量：良,PM: 73,07:52,17:59
南江,2024年12月25日　星期三　甲辰年冬月廿五,6℃,轻度雾霾1 ~ 11℃,湿度：93%,风向：北风 1级,紫外线：中等,空气质量：轻度污染,PM: 103,07:51,17:53
南宁,2024年12月25日　星期三　甲辰年冬月廿五,15℃,晴12 ~ 22℃,湿度：56%,风向：东北风 1级,紫外线：中等,空气质量：良,PM: 74,07:24,18:08
攀枝花,2024年12月25日　星期三　甲辰年冬月廿五,8℃,轻度雾霾6 ~ 20℃,湿度：89%,风向：西北风 1级,紫外线：无,空气质量：轻度污染,PM: 79,07:58,18:27
普格,2024年12月25日　星期三　甲辰年冬月廿五,8℃,晴2 ~ 16℃,湿度：76%,风向：西南风 2级,紫外线：中等,空气质量：优,PM: 9,07:57,18:22
番禺,2024年12月25日　星期三　甲辰年冬月廿五,16℃,阴16 ~ 21℃,湿度：50%,风向：北风 3级,紫外线：很弱,空气质量：良,PM: 37,07:04,17:48
平远,2024年12月25日　星期三　甲辰年冬月廿五,14℃,小雨10 ~ 19℃,湿度：64%,风向：北风 2级,紫外线：中等,空气质量：良,PM: 50,06:57,17:35
坪山,2024年12月25日　星期三　甲辰年冬月廿五,15℃,阴15 ~ 19℃,湿度：69%,风向：东北风 2级,紫外线：很弱,空气质量：良,PM: 40,07:02,17:46
坡头,2024年12月25日　星期三　甲辰年冬月廿五,20℃,阴16 ~ 21℃,湿度：63%,风向：东风 2级,紫外线：很弱,空气质量：良,PM: 49,07:12,18:03
蓬江,2024年12月25日　星期三　甲辰年冬月廿五,18℃,多云16 ~ 20℃,湿度：54%,风向：北风 3级,紫外线：很弱,空气质量：良,PM: 28,07:05,17:50
普宁,2024年12月25日　星期三　甲辰年冬月廿五,17℃,小雨15 ~ 21℃,湿度：69%,风向：北风 2级,紫外线：很弱,空气质量：良,PM: 51,06:54,17:36
盘龙,2024年12月25日　星期三　甲辰年冬月廿五,10℃,晴6 ~ 18℃,湿度：81%,风向：西南风 2级,紫外线：中等,空气质量：优,PM: 19,07:51,18:26
屏边,2024年12月25日　星期三　甲辰年冬月廿五,11℃,晴7 ~ 17℃,湿度：60%,风向：南风 1级,紫外线：中等,空气质量：良,PM: 54,07:43,18:27
普洱,2024年12月25日　星期三　甲辰年冬月廿五,13℃,晴11 ~ 21℃,湿度：90%,风向：东风 1级,紫外线：很弱,空气质量：优,PM: 14,07:54,18:38
凭祥,2024年12月25日　星期三　甲辰年冬月廿五,16℃,轻度雾霾10 ~ 20℃,湿度：51%,风向：东北风 1级,紫外线：中等,空气质量：轻度污染,PM: 79,07:29,18:16
平乐,2024年12月25日　星期三　甲辰年冬月廿五,12℃,轻度雾霾5 ~ 19℃,湿度：53%,风向：北风 2级,紫外线：强,空气质量：轻度污染,PM: 78,07:19,17:56
平桂,2024年12月25日　星期三　甲辰年冬月廿五,10℃,轻度雾霾6 ~ 16℃,湿度：55%,风向：东北风 2级,紫外线：中等,空气质量：轻度污染,PM: 94,07:16,17:55
平桂,2024年12月25日　星期三　甲辰年冬月廿五,10℃,轻度雾霾6 ~ 16℃,湿度：55%,风向：东北风 2级,紫外线：中等,空气质量：轻度污染,PM: 94,07:16,17:55
平南,2024年12月25日　星期三　甲辰年冬月廿五,17℃,晴11 ~ 21℃,湿度：50%,风向：东北风 2级,紫外线：中等,空气质量：良,PM: 64,07:17,17:59
平果,2024年12月25日　星期三　甲辰年冬月廿五,15℃,晴10 ~ 20℃,湿度：54%,风向：东北风 1级,紫外线：中等,空气质量：良,PM: 66,07:28,18:10
浦北,2024年12月25日　星期三　甲辰年冬月廿五,17℃,多云15 ~ 21℃,湿度：50%,风向：北风 2级,紫外线：弱,空气质量：良,PM: 65,07:18,18:05
浦北,2024年12月25日　星期三　甲辰年冬月廿五,17℃,多云15 ~ 21℃,湿度：50%,风向：北风 2级,紫外线：弱,空气质量：良,PM: 65,07:18,18:05
屏东,2024年12月25日　星期三　甲辰年冬月廿五,21℃,多云19 ~ 25℃,湿度：65%,风向：西北风 2级,紫外线：弱,空气质量：优,PM: 0,06:35,17:20
澎湖,2024年12月25日　星期三　甲辰年冬月廿五,19℃,阴18 ~ 20℃,湿度：87%,风向：东北风 6级,紫外线：很弱,空气质量：优,PM: 0,06:41,17:22
清原,2024年12月25日　星期三　甲辰年冬月廿五,-6℃,阴-10 ~ -0℃,湿度：81%,风向：南风 2级,紫外线：很弱,空气质量：良,PM: 39,07:06,16:13
衢州,2024年12月25日　星期三　甲辰年冬月廿五,8℃,晴6 ~ 16℃,湿度：90%,风向：东北风 1级,紫外线：很弱,空气质量：良,PM: 64,06:55,17:13
青山湖,2024年12月25日　星期三　甲辰年冬月廿五,6℃,轻度雾霾6 ~ 14℃,湿度：56%,风向：北风 2级,紫外线：弱,空气质量：轻度污染,PM: 92,07:06,17:25
祁东,2024年12月25日　星期三　甲辰年冬月廿五,6℃,晴5 ~ 14℃,湿度：76%,风向：北风 1级,紫外线：弱,空气质量：良,PM: 75,07:17,17:45
祁阳,2024年12月25日　星期三　甲辰年冬月廿五,8℃,轻度雾霾5 ~ 15℃,湿度：67%,风向：东北风 2级,紫外线：中等,空气质量：轻度污染,PM: 87,07:18,17:47
清镇,2024年12月25日　星期三　甲辰年冬月廿五,3℃,雾2 ~ 8℃,湿度：97%,风向：东北风 2级,紫外线：很弱,空气质量：优,PM: 31,07:39,18:08
黔南,2024年12月25日　星期三　甲辰年冬月廿五,5℃,晴3 ~ 12℃,湿度：76%,风向：东北风 1级,紫外线：弱,空气质量：良,PM: 48,07:35,18:05
黔东南,2024年12月25日　星期三　甲辰年冬月廿五,5℃,晴3 ~ 10℃,湿度：63%,风向：东北风 2级,紫外线：中等,空气质量：良,PM: 56,07:33,18:02
黔西,2024年12月25日　星期三　甲辰年冬月廿五,2℃,雾1 ~ 6℃,湿度：99%,风向：东北风 2级,紫外线：很弱,空气质量：优,PM: 34,07:42,18:09
七星关,2024年12月25日　星期三　甲辰年冬月廿五,2℃,雾1 ~ 4℃,湿度：90%,风向：东北风 2级,紫外线：很弱,空气质量：优,PM: 3,07:46,18:11
晴隆,2024年12月25日　星期三　甲辰年冬月廿五,5℃,多云5 ~ 12℃,湿度：100%,风向：东风 2级,紫外线：弱,空气质量：优,PM: 18,07:43,18:15
黔西南,2024年12月25日　星期三　甲辰年冬月廿五,8℃,多云6 ~ 14℃,湿度：94%,风向：东南风 2级,紫外线：很弱,空气质量：良,PM: 67,07:43,18:18
邛崃,2024年12月25日　星期三　甲辰年冬月廿五,6℃,多云5 ~ 9℃,湿度：97%,风向：西北风 0级,紫外线：很弱,空气质量：良,PM: 63,08:00,18:11
青羊,2024年12月25日　星期三　甲辰年冬月廿五,6℃,晴6 ~ 10℃,湿度：100%,风向：北风 1级,紫外线：很弱,空气质量：良,PM: 44,07:58,18:08
青白江,2024年12月25日　星期三　甲辰年冬月廿五,5℃,晴5 ~ 10℃,湿度：100%,风向：北风 1级,紫外线：很弱,空气质量：良,PM: 49,07:58,18:07
渠县,2024年12月25日　星期三　甲辰年冬月廿五,9℃,轻度雾霾7 ~ 12℃,湿度：92%,风向：西南风 1级,紫外线：很弱,空气质量：轻度污染,PM: 95,07:47,17:56
前锋,2024年12月25日　星期三　甲辰年冬月廿五,8℃,轻度雾霾7 ~ 10℃,湿度：90%,风向：东风 1级,紫外线：很弱,空气质量：轻度污染,PM: 97,07:47,17:58
犍为,2024年12月25日　星期三　甲辰年冬月廿五,8℃,雾转小雨7 ~ 9℃,湿度：100%,风向：西风 1级,紫外线：很弱,空气质量：良,PM: 36,07:55,18:12
青神,2024年12月25日　星期三　甲辰年冬月廿五,7℃,雾7 ~ 10℃,湿度：98%,风向：西北风 1级,紫外线：很弱,空气质量：良,PM: 51,07:57,18:11
青川,2024年12月25日　星期三　甲辰年冬月廿五,-0℃,多云-0 ~ 8℃,湿度：95%,风向：北风 1级,紫外线：很弱,空气质量：良,PM: 41,07:58,17:59
曲江,2024年12月25日　星期三　甲辰年冬月廿五,12℃,晴7 ~ 17℃,湿度：69%,风向：北风 2级,紫外线：中等,空气质量：良,PM: 59,07:07,17:44
清远,2024年12月25日　星期三　甲辰年冬月廿五,16℃,阴13 ~ 18℃,湿度：47%,风向：北风 2级,紫外线：很弱,空气质量：优,PM: 34,07:07,17:48
清新,2024年12月25日　星期三　甲辰年冬月廿五,16℃,多云12 ~ 18℃,湿度：47%,风向：北风 2级,紫外线：很弱,空气质量：良,PM: 40,07:07,17:48
清城,2024年12月25日　星期三　甲辰年冬月廿五,14℃,雾13 ~ 18℃,湿度：48%,风向：北风 2级,紫外线：很弱,空气质量：良,PM: 36,07:07,17:48
琼海,2024年12月25日　星期三　甲辰年冬月廿五,18℃,阴转小雨18 ~ 21℃,湿度：89%,风向：北风 3级,紫外线：很弱,空气质量：良,PM: 40,07:09,18:07
上海,2024年12月25日　星期三　甲辰年冬月廿五,9℃,雾8 ~ 14℃,湿度：95%,风向：东南风 1级,紫外线：很弱,空气质量：优,PM: 26,06:50,16:57
沈阳,2024年12月25日　星期三　甲辰年冬月廿五,-4℃,晴-6 ~ 3℃,湿度：80%,风向：南风 3级,紫外线：很弱,空气质量：良,PM: 45,07:11,16:20
双滦,2024年12月25日　星期三　甲辰年冬月廿五,-11℃,轻度雾霾-11 ~ -1℃,湿度：77%,风向：西风 2级,紫外线：很弱,空气质量：轻度污染,PM: 80,07:31,16:46
三河,2024年12月25日　星期三　甲辰年冬月廿五,1℃,轻度雾霾-7 ~ 4℃,湿度：55%,风向：西北风 3级,紫外线：中等,空气质量：轻度污染,PM: 76,07:31,16:51
肃宁,2024年12月25日　星期三　甲辰年冬月廿五,-0℃,轻度雾霾-4 ~ 6℃,湿度：71%,风向：西南风 3级,紫外线：弱,空气质量：轻度污染,PM: 94,07:32,17:01
深州,2024年12月25日　星期三　甲辰年冬月廿五,-2℃,中度雾霾-4 ~ 6℃,湿度：76%,风向：西南风 2级,紫外线：很弱,空气质量：中度污染,PM: 125,07:31,17:03
沙河,2024年12月25日　星期三　甲辰年冬月廿五,2℃,雾-3 ~ 7℃,湿度：92%,风向：南风 2级,紫外线：很弱,空气质量：重度污染,PM: 158,07:32,17:11
涉县,2024年12月25日　星期三　甲辰年冬月廿五,-2℃,雾-3 ~ 9℃,湿度：56%,风向：西风 2级,紫外线：很弱,空气质量：轻度污染,PM: 105,07:35,17:15
山海关,2024年12月25日　星期三　甲辰年冬月廿五,3℃,轻度雾霾-5 ~ 6℃,湿度：78%,风向：西风 3级,紫外线：中等,空气质量：轻度污染,PM: 106,07:20,16:41
